sr_no,from_place,to_place,_date,passengers,airline
1,Istanbul,Islamabad,2020-04-03,206,PIA
2,Toronto,Islamabad,2020-04-04,162,PIA
3,Birmingham,Islamabad,2020-04-06,132,PIA
4,Tashkent,Islamabad,2020-04-06,130,PIA
5,Manchester,Islamabad,2020-04-09,78,PIA
6,London,Islamabad,2020-04-09,175,PIA
7,Trabzon,Islamabad,2020-04-09,39,PIA
8,Chengdu,Islamabad,2020-04-10,16,PIA
9,Beijing,Islamabad,2020-04-10,14,PIA
10,Oslo,Islamabad,2020-04-10,14,PIA
11,Manchester,Islamabad,2020-04-10,10,PIA
12,Birmingham,Islamabad,2020-04-10,13,PIA
13,KualaLumpur,Islamabad,2020-04-11,205,PIA
14,Baku,Islamabad,2020-04-12,127,PIA
15,London,Islamabad,2020-04-13,47,PIA
16,Bangkok,Islamabad,2020-04-14,270,PIA
17,Dubai,Faisalabad,2020-04-14,186,FlyDubai
18,Dubai,Peshawar,2020-04-15,189,FlyDubai
19,Muscat,Karachi,2020-04-17,176,SalamAir
20,Jakarta,Karachi,2020-04-18,221,PIA
21,Jeddah,Multan,2020-04-18,223,SaudiAirline
22,Doha,Islamabad,2020-04-18,227,QatarAirways
23,Luanda,Karachi,2020-04-19,14,ENIAngola
24,MayaMaya,Karachi,2020-04-19,16,ENIAngola
25,Dubai,Karachi,2020-04-20,226,PIA
26,Dubai,Karachi,2020-04-20,250,PIA
27,Dubai,Lahore,2020-04-20,256,PIA
28,Dubai,Lahore,2020-04-20,248,PIA
29,Sharjah,Multan,2020-04-20,208,AirArabia
30,Dubai,Peshawar,2020-04-20,245,EmiratesAirline
31,Sharjah,Multan,2020-04-21,208,AirArabia
32,SouthAfrica,Islamabad,2020-04-21,81,SpecialFlight
33,Doha,Islamabad,2020-04-21,16,QatarAirways
34,Doha,Islamabad,2020-04-22,9,QatarAirways
35,Bahrain,Faisalabad,2020-04-23,113,GulfAir
36,Sharjah,Multan,2020-04-24,215,AirArabia
37,AbuDhabi,Peshwar,2020-04-24,250,PIA
38,London,Islamabad,2020-04-24,310,PIA
39,Dubai,Faisalabad,2020-04-24,142,PIA
40,Dubai,Faisalabad,2020-04-24,145,PIA
41,Sharjha,Lahore,2020-04-25,215,AirArabia
42,Doha,Lahore,2020-04-25,250,QatarAirways
43,Oslo,Islamabad,2020-04-26,46,PIA
44,Melbourne,Lahore,2020-04-26,209,PIA
45,Frankfurt,Islamabad,2020-04-27,31,PIA
46,Colombo,Karachi,2020-04-28,27,AirLanka
47,Dubai,Karachi,2020-04-28,242,PIA
48,AbuDhabi,Faisalabad,2020-04-28,131,PIA
49,AbuDhabi,Faisalabad,2020-04-28,130,PIA
50,Colombo,Lahore,2020-04-28,22,AirLanka
51,Doha,Lahore,2020-04-28,248,QatarAirways
52,AbuDhabi,Islamabad,2020-04-28,209,EithadAirways
53,Dubai,Multan,2020-04-28,141,PIA
54,Dubai,Multan,2020-04-28,142,PIA
55,Doha,Peshawar,2020-04-29,249,QatarAirways
56,Sharjah,Karachi,2020-04-29,214,AirArabia
57,Doha,Lahore,2020-04-29,250,QatarAirways
58,Riyadh,Islamabad,2020-05-01,254,PIA
59,Dubai,Karachi,2020-05-01,140,PIA
60,Muscat,Karachi,2020-05-01,145,PIA
61,Dubai,Multan,2020-05-01,188,FlyDubai
62,Muscat,Faisalabad,2020-05-01,141,PIA
63,Dubai,Faisalabad,2020-05-01,149,PIA
64,Jeddah,Lahore,2020-05-01,236,PIA
65,Dubai,Peshawar,2020-05-01,250,EmiratesAirline
66,Khartum,Karachi,2020-05-02,254,PIA
67,London,Lahore,2020-05-02,273,PIA
68,Doha,Islamabad,2020-05-03,255,QatarAirways
69,Dubai,Faisalabad,2020-05-04,147,PIA
70,Dubai,Faisalabad,2020-05-04,147,PIA
71,Dubai,Lahore,2020-05-04,263,PIA
72,Colombo,Karachi,2020-05-04,15,AirLanka
73,Nairobi,Karachi,2020-05-04,228,PIA
74,Istanbul,Islamabad,2020-05-04,271,PIA
75,Doha,Peshwar,2020-05-05,251,QatarAirways
76,Muscat,Multan,2020-05-05,124,SalamAir
77,AbuDhabi,Karachi,2020-05-05,148,PIA
78,Bahrain,Karachi,2020-05-05,108,PIA
79,Seoul,Islamabad,2020-05-05,132,PIA
80,Amsterdam,Islamabad,2020-05-06,46,PIA
81,Dubai,Lahore,2020-05-06,264,PIA
82,Dubai,Islamabad,2020-05-07,250,EmiratesAirline
83,Dubai,Faisalabad,2020-05-07,140,PIA
84,Dubai,Faisalabad,2020-05-07,143,PIA
85,Dubai,Lahore,2020-05-07,142,PIA
86,Dubai,Lahore,2020-05-07,137,PIA
87,Dubai,Karachi,2020-05-07,250,EmiratesAirline
88,Doha,Multan,2020-05-08,256,QatarAirways
89,Doha,Peshawar,2020-05-08,251,QatarAirways
90,Frankfurt,Islamabad,2020-05-09,64,PIA
91,Dubai,Peshawar,2020-05-10,250,EmiratesAirline
92,Doha,Karachi,2020-05-10,252,QatarAirways
93,Dubai,Karachi,2020-05-10,257,PIA
94,London,Islamabad,2020-05-10,260,PIA
95,AbuDhabi,Lahore,2020-05-10,257,PIA
96,Sharjah,Multan,2020-05-10,215,AirArabia
97,Dubai,Faisalabad,2020-05-10,142,PIA
98,Dubai,Faisalabad,2020-05-10,146,PIA
99,AbuDhabi,Karachi,2020-05-11,144,PIA
100,AbuDhabi,Karachi,2020-05-11,151,PIA
101,KualaLumpur,Peshawar,2020-05-11,250,PIA
102,Washington,Islamabad,2020-05-11,173,PIA
103,Oslo,Islamabad,2020-05-12,19,PIA
